timestamp,user_id,username,event_type,metadata_json
2026-04-27T06:19:48.688670+03:00,1,root,added_to_cart,"{""quantity"": 1, ""product_id"": 1, ""cart_session_key"": ""kzxp310i0f9tx2s67hf21qwl62pya22p""}"
2026-04-27T06:19:49.304563+03:00,1,root,added_to_cart,"{""quantity"": 2, ""product_id"": 1, ""cart_session_key"": ""kzxp310i0f9tx2s67hf21qwl62pya22p""}"
2026-04-27T06:19:49.539603+03:00,1,root,added_to_cart,"{""quantity"": 3, ""product_id"": 1, ""cart_session_key"": ""kzxp310i0f9tx2s67hf21qwl62pya22p""}"
2026-04-27T06:19:49.741928+03:00,1,root,added_to_cart,"{""quantity"": 4, ""product_id"": 1, ""cart_session_key"": ""kzxp310i0f9tx2s67hf21qwl62pya22p""}"
2026-04-27T06:19:50.003655+03:00,1,root,added_to_cart,"{""quantity"": 5, ""product_id"": 1, ""cart_session_key"": ""kzxp310i0f9tx2s67hf21qwl62pya22p""}"
2026-04-27T06:19:50.156997+03:00,1,root,added_to_cart,"{""quantity"": 6, ""product_id"": 1, ""cart_session_key"": ""kzxp310i0f9tx2s67hf21qwl62pya22p""}"
2026-04-27T06:19:50.318602+03:00,1,root,added_to_cart,"{""quantity"": 7, ""product_id"": 1, ""cart_session_key"": ""kzxp310i0f9tx2s67hf21qwl62pya22p""}"
2026-04-27T06:19:50.489548+03:00,1,root,added_to_cart,"{""quantity"": 8, ""product_id"": 1, ""cart_session_key"": ""kzxp310i0f9tx2s67hf21qwl62pya22p""}"
2026-04-27T06:19:50.668848+03:00,1,root,added_to_cart,"{""quantity"": 9, ""product_id"": 1, ""cart_session_key"": ""kzxp310i0f9tx2s67hf21qwl62pya22p""}"
2026-04-27T06:19:50.827983+03:00,1,root,added_to_cart,"{""quantity"": 10, ""product_id"": 1, ""cart_session_key"": ""kzxp310i0f9tx2s67hf21qwl62pya22p""}"
2026-04-27T06:19:50.988263+03:00,1,root,added_to_cart,"{""quantity"": 11, ""product_id"": 1, ""cart_session_key"": ""kzxp310i0f9tx2s67hf21qwl62pya22p""}"
2026-04-27T06:25:23.567434+03:00,1,root,added_to_cart,"{""quantity"": 12, ""product_id"": 1, ""cart_session_key"": ""kzxp310i0f9tx2s67hf21qwl62pya22p""}"
2026-04-27T16:05:15.144599+03:00,1,root,user_logged_in,"{""ip"": ""127.0.0.1"", ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36""}"
2026-04-27T16:19:01.615012+03:00,,,added_to_cart,"{""quantity"": 1, ""product_id"": 1, ""cart_session_key"": ""cuhl58sslafxs8iio0ev9jwwr7ezlujm""}"
2026-04-27T16:20:34.022482+03:00,1,root,user_logged_in,"{""ip"": ""127.0.0.1"", ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36""}"
